I;11043;322.0 deg;50.0 uSH;Hsx;1.0 deg;1;Alpha;25;5;2010-02-03
I;11043;322.0 deg;50.0 uSH;Hsx;6.0 deg;1;Alpha;25;18;2010-02-04
I;11043;324.0 deg;20.0 uSH;Hsx;1.0 deg;1;Alpha;26;33;2010-02-05
I;11043;328.0 deg;20.0 uSH;Hax;1.0 deg;1;Alpha;24;50;2010-02-06
I;11044;314.0 deg;10.0 uSH;Axx;1.0 deg;1;Alpha;18;36;2010-02-06
I;11043;327.0 deg;20.0 uSH;Axx;1.0 deg;1;Alpha;25;62;2010-02-07
I;11045;250.0 deg;290.0 uSH;Dkc;8.0 deg;9;Beta-Gamma;24;15;2010-02-07
IA;11044;314.0 deg;0.0 uSH;--;0.0 deg;--;--;18;49;2010-02-07
II;11042;137.0 deg;0.0 uSH;--;0.0 deg;--;--;18;0;2010-02-07
I;11043;325.0 deg;10.0 uSH;Axx;1.0 deg;1;Alpha;23;73;2010-02-08
I;11045;253.0 deg;320.0 uSH;Fkc;19.0 deg;18;Beta-Gamma;23;1;2010-02-08
I;11046;187.0 deg;30.0 uSH;Bxo;4.0 deg;2;Beta;25;65;2010-02-08
IA;11044;314.0 deg;0.0 uSH;--;0.0 deg;--;--;18;62;2010-02-08
II;11042;132.0 deg;0.0 uSH;--;0.0 deg;--;--;21;0;2010-02-08
I;11045;256.0 deg;420.0 uSH;Fkc;20.0 deg;35;Beta-Gamma-Delta;23;17;2010-02-09
I;11046;186.0 deg;30.0 uSH;Bxo;10.0 deg;4;Beta;24;52;2010-02-09
I;11047;169.0 deg;10.0 uSH;Axx;2.0 deg;2;Alpha;15;70;2010-02-09
IA;11043;325.0 deg;0.0 uSH;--;0.0 deg;--;--;23;86;2010-02-09
IA;11044;314.0 deg;0.0 uSH;--;0.0 deg;--;--;18;75;2010-02-09
II;11042;132.0 deg;0.0 uSH;--;0.0 deg;--;--;21;0;2010-02-09
I;11045;252.0 deg;300.0 uSH;Fkc;19.0 deg;25;Beta-Gamma-Delta;23;26;2010-02-10
